20 196 15 12 2508 1569 111 23 7875 2220 3590 6	6 21 201 16 13 2550 54 4720 114 25 7741 2269 2551 7
668 13 16 15 65 3209 111 8 40 21 78 457 10 1118 1141 6	6 268 17 16 64 3265 114 8 40 22 80 460 11 1159 1117 7
11 361 847 7 3591 1570 14 7 7876 13 7 111 70 15 1989 52 12 424 6	6 12 355 821 9 3611 1655 15 9 723 14 9 114 72 16 1825 52 13 411 7
7877 21 56 564 10 80 13 76 721 7 357 2221 53 7 111 6	6 7742 22 59 647 11 82 14 74 775 9 329 2142 14 9 114 7
40 21 12 7878 2509 861 7 7879 549 13 7 111 143 18 29 131 44 232 13 5741 116 2687 8 2102 8 7880 8 3592 8 1788 457 8 878 8 380 164 878 8 4069 8 175 5742 8 3593 10 308 6	6 40 16 13 2399 2751 858 9 7743 605 14 9 114 144 18 32 130 46 457 14 2270 117 2752 8 1922 8 7744 8 3612 8 1726 460 8 805 8 408 165 805 8 7745 8 180 5756 8 3266 11 308 7
7 381 13 7 588 10 918 21 450 73 8 38 40 21 12 504 793 8 156 11 778 18 353 227 51 64 7881 47 7882 6	6 9 377 14 9 594 11 895 16 479 75 8 38 40 16 525 791 7 158 8 12 355 18 24 1582 14 7746 47 7747 7
207 68 74 163 1877 6	6 205 69 77 161 1583 7
30 95 9 24 12 879 8 82 95 9 24 12 392 6	6 68 29 94 10 24 13 896 8 308 94 10 24 13 384 7
367 8 11 29 175 44 191 7 120 8 339 122 30 87 21 56 525 6	6 365 8 12 32 180 46 184 9 118 8 11 368 113 29 86 22 59 484 7
215 8 11 35 22 12 541 1706 14 183 2103 47 848 10 11 29 107 127 23 255 167 67 16 39 332 89	6 216 8 12 36 23 13 534 10 1072 193 2012 47 806 11 12 32 122 124 25 251 29 7 17 41 333 90
9 24 2222 8 11 182 285 56 309 41 11 295 218 9 210 14 272 9 107 20 515 669 441 6	6 10 24 13 2753 8 12 189 339 59 299 8 43 12 324 222 10 213 15 292 10 122 21 535 271 453 7
14 7 125 8 11 295 250 12 2222 6	6 15 9 125 8 12 324 257 13 2753 7
192 26 99 326 9 85 52 234 47 52 314 34 23 7 96 1502 7 175 1087 21 42 404 10 12 183 1348 53 7 425 15 17 16 15 334 404 9 85 418 139 400 6	6 195 8 17 26 98 304 10 87 52 254 47 52 334 8 35 25 9 99 1584 8 9 2400 22 44 392 11 13 193 1236 55 9 441 16 19 17 16 376 392 10 87 192 54 1533 105 648 3613 7
14 1442 143 11 162 8 14 7883 8 25 117 12 88 7 314 9 85 14 7 80 109 196 13 1637 8 34 7 314 21 56 404 8 54 10 20 148 451 1878 50 25 85 426 1707 38 7 560 21 9 275 6	6 15 1403 8 144 12 179 8 15 7748 8 27 116 9 334 13 84 10 87 10 9 82 109 1656 15 9 1585 8 35 9 755 22 59 392 7 57 11 21 153 22 1582 10 87 402 2977 38 9 871 22 159 300 7
11 69 115 382 14 7 125 40 35 24 84 220 9 1638 47 18 29 424 76 14 46 4070 6	6 12 70 119 390 15 9 125 40 36 24 149 19 22 218 10 1727 47 18 32 411 74 15 49 4080 7
7 345 288 15 149 472 172 29 32 534 152 4071 6	6 9 352 283 16 137 469 173 32 34 526 154 2401 7
33 393 794 13 279 10 29 32 575 12 2916 6	6 33 356 756 286 11 32 34 249 13 2552 7
42 105 7884 694 89	6 44 105 258 757 90
37 18 94 1180 4735 79	6 39 18 100 51 1586 5757 81
18 561 705 6	6 18 541 792 7
634 550 9 94 213 89 6	6 1237 31 536 10 100 209 90
11 69 115 1708 31 1180 4735 174 256 92 364 6	6 12 23 110 1534 31 1586 5757 186 255 95 369 7
526 8 11 630 23 12 7885 1119 14 7 458 13 7886 6	6 103 8 12 621 17 25 13 7749 1118 15 9 496 14 7750 7
7 240 288 213 11 551 9 1503 26 9 862 1443 176 11 26 12 565 2359 158 6	6 9 250 283 209 12 436 10 222 17 26 10 872 1657 169 12 26 13 606 3267 156 7
1181 8 11 966 17 276 4736 646 849 54 9 245 20 2510 8 99 11 779 7 106 2688 3210 433 10 353 1047 7 1504 6	6 1197 8 12 978 19 268 1455 576 793 57 10 243 21 2271 8 98 12 758 82 2754 873 458 11 366 1073 15 9 1160 7
50 409 740 9 113 103 27 112 8 108 13 44 8 11 59 2360 130 47 90 9 2689 12 73 1180 1119 6	6 50 414 685 10 112 104 28 115 8 103 14 46 8 12 61 2143 133 47 89 10 244 20 13 75 1586 1118 7
16 39 109 9 741 1306 8 250 368 10 22 12 73 795 6	6 17 41 109 10 794 1198 8 24 361 11 23 13 75 740 7
510 8 36 47 77 59 301 12 73 7887 10 8 13 241 8 1258 1709 6	6 497 8 37 47 78 91 305 13 75 7751 11 8 14 240 8 1161 1728 7
3211 8 7888 8 10 57 223 8 12 7889 8 10 12 392 6	6 3268 8 7752 8 11 56 226 8 13 7753 8 11 13 384 7
2223 6	6 2272 7
7 454 442 594 136 14 12 461 8 10 7890 8 7891	6 9 461 470 607 145 15 13 466 11 13 7754 8 7755
16 39 332 38 3211 39 1088 1388 12 1389 14 57 4737 8 17	6 17 41 333 38 3268 41 1097 1356 13 1535 15 56 4721 8 19
71 12 1990 1571 13 155 1879 119 49 90 39 8 7 171 474 60 13 7	6 71 13 2013 1456 14 155 1923 120 48 4722 8 11 9 176 563 159 30 9
11 361 27 401 93 9 820 850 105 3212 92 147 1048	6 12 355 28 393 96 10 841 759 105 3269 95 151 1658
7 106 136 19 238 30 14 61 7892 15 224 1505 7 1570 6	6 9 106 145 20 224 29 15 65 496 16 223 1587 9 1655 7
282 33 29 37 78 576 13 112 116 434 8 2917 8 2690 8 7893 8 7894 10 78 308 6	6 309 33 32 39 80 457 14 115 117 419 8 2978 8 2273 8 7756 8 7757 11 80 308 7
43 459 33 29 339 82 5743 10 722 8 22 12 4738 10 1049 9 7 286 6	6 42 471 33 32 368 83 5758 11 776 8 4723 11 1042 10 291 7
2361 7 5744 21 483 695 880 1019 41 7 238 863 10 1506 22 114 48 9 228 7	6 2553 8 9 724 22 504 20 897 1043 8 43 9 224 842 11 1536 23 13 84 14 53 10 231 56
1259 48 394 6	6 1279 53 403 7
11 219 18 561 1142 6	6 12 225 18 541 1199 7
11 527 44 13 18 10 1050 20 148 6	6 12 505 46 14 18 11 1006 21 153 7
1307 20 165 8 7895 8 26 56 309 19 54 6	6 1162 21 170 8 4724 8 26 59 299 20 57 7
40 26 65 7896 5745 13 7 152 67 670 2918 243 52 3213 10 7897 6	6 40 26 64 5759 5760 14 9 154 54 649 5761 252 52 3270 11 7758 7
11 99 49 9 175 8 34 11 49 7 80 58 11 175 23 127 6	6 12 98 48 10 180 8 35 12 48 17 82 62 12 180 25 124 7
11 12 56 73 173 6	6 12 13 59 75 174 7
11 128 9 175 23 20 148 6	6 12 132 10 180 25 21 153 7
11 119 22 71 3214 155 360 6	6 12 23 96 3271 155 398 7
211 155 360 68 118 23 7 5746 17 11 161 6	6 207 155 398 93 25 9 4725 19 12 164 15 7
427 25 189 9 7898 6	6 442 27 185 10 7759 7
14 17 48 11 153 32 94 851 8 119 55 6	6 42 19 53 8 12 140 34 100 2402 8 120 58 168 7
77 26 20 273 8 38 25 21 53 7 171 196 6	6 78 26 21 297 8 38 27 22 55 9 176 201 7
34 58 11 26 40 11 899 9 107 96 127 17 11 208 7899 11 26 132 9 22 8 10 11 208 7900 7 97 17 11 26 132 9 94 76 7901 6 43 7 7902 11 484 56 1260 485 23 76 8 34 151 25 21 56 73 127 6	6 35 62 12 26 40 8 12 874 10 122 99 124 19 12 227 345 12 61 23 8 11 12 227 2979 9 97 19 12 26 135 10 100 74 1238 7 42 9 741 8 12 472 59 1239 506 25 74 8 35 160 27 22 59 75 124 7
40 26 157 1120 6	6 17 26 159 1098 40 7
25 98 56 269 40 25 99 49 7903 6	6 27 93 59 269 40 7 27 98 822 7760 7
442 11 26 496 118 40 192 34 32 23 20 127 6	6 470 8 12 71 517 110 40 195 8 35 34 25 21 124 7
99 8 11 75 16 39 12 56 264 8 332 10 3594 232 13 112 6	6 98 8 12 76 17 41 13 59 265 8 333 11 3614 274 14 115 7
14 7904 3595 110 9 516 64 4072 8 70 12 56 122 8 64 13 17 21 197 8 64 21 635 6	6 15 7761 8 3272 111 10 501 68 3273 72 22 59 113 175 68 14 74 22 192 8 68 22 648 7
